City,Date,PM2.5,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket
Bengaluru,2015-03-21,48.59,3.47,27.0,18.04,3.89,1.94,52.96,91.0,Satisfactory
Bengaluru,2015-03-22,47.38,2.84,22.39,15.33,11.29,2.05,71.85,120.0,Moderate
Bengaluru,2015-03-23,65.65,3.1,26.35,17.45,9.95,6.3,72.84,154.0,Moderate
Bengaluru,2015-03-24,60.47,5.39,29.87,20.88,1.46,6.07,64.12,119.0,Moderate
Bengaluru,2015-03-25,62.56,3.16,23.57,16.39,10.05,4.98,82.34,232.0,Poor
Bengaluru,2015-03-26,60.73,4.16,32.07,21.03,1.44,1.67,67.21,132.0,Moderate
Bengaluru,2015-03-27,42.1,4.01,25.55,17.37,2.85,2.46,51.93,123.0,Moderate
Bengaluru,2015-03-28,40.0,2.93,17.99,11.36,8.07,2.5,44.65,152.0,Moderate
Bengaluru,2015-03-29,32.16,2.38,12.9,8.3,8.53,2.08,56.31,143.0,Moderate
Bengaluru,2015-03-30,30.78,2.68,16.23,14.63,1.46,2.63,49.52,80.0,Satisfactory
Bengaluru,2015-03-31,38.99,2.6,10.97,12.7,1.79,2.79,47.67,90.0,Satisfactory
Bengaluru,2015-04-01,36.42,2.68,8.83,9.13,9.6,3.17,48.25,151.0,Moderate
Bengaluru,2015-04-02,38.15,4.24,10.29,9.99,4.06,7.65,53.26,123.0,Moderate
Bengaluru,2015-04-03,35.11,2.63,5.99,6.82,5.34,2.32,57.75,178.0,Moderate
Bengaluru,2015-04-04,36.68,3.63,12.89,10.88,1.47,3.29,76.36,101.0,Moderate
Bengaluru,2015-04-05,36.92,2.2,9.0,7.6,9.58,4.07,65.62,160.0,Moderate
Bengaluru,2015-04-06,31.78,2.48,8.14,8.06,0.55,7.22,54.31,71.0,Satisfactory
Bengaluru,2015-04-07,37.25,2.86,7.14,11.25,2.3,5.88,60.42,76.0,Satisfactory
Bengaluru,2015-04-08,29.8,2.59,9.04,7.52,6.84,1.84,49.55,153.0,Moderate
Bengaluru,2015-04-09,25.06,3.21,8.72,7.2,5.82,2.6,42.63,80.0,Satisfactory
Bengaluru,2015-04-10,24.4,6.87,7.46,8.7,5.19,2.03,44.47,129.0,Moderate
Bengaluru,2015-04-11,32.08,6.6,7.09,8.82,1.7,3.22,53.91,107.0,Moderate
Bengaluru,2015-04-12,19.72,1.81,4.97,5.51,2.65,5.16,44.53,122.0,Moderate
Bengaluru,2015-04-13,17.03,2.17,8.53,9.95,2.23,2.75,39.03,85.0,Satisfactory
Bengaluru,2015-04-14,19.73,2.26,6.1,6.13,1.4,4.66,57.7,62.0,Satisfactory
Bengaluru,2015-04-15,22.52,6.71,4.86,14.02,5.45,4.9,77.05,177.0,Moderate
Bengaluru,2015-04-16,21.36,2.86,7.98,12.69,0.97,29.11,96.88,152.0,Moderate
Bengaluru,2015-04-17,24.35,3.06,6.64,7.42,12.93,2.58,97.2,210.0,Poor
Bengaluru,2015-04-18,18.33,2.4,5.98,6.47,3.84,3.99,101.63,170.0,Moderate
Bengaluru,2015-04-19,17.66,1.85,6.58,5.89,0.48,2.49,81.34,135.0,Moderate
Bengaluru,2015-04-20,27.46,2.53,7.91,7.1,4.58,5.53,37.22,118.0,Moderate
