City,Date,PM2.5,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket,year,month,day,day_of_week,is_weekend,quarter,aqi_lag_1,aqi_lag_7,aqi_rolling_7d,aqi_rolling_30d
Bengaluru,2015-04-19,17.66,1.85,6.58,5.89,0.48,2.49,81.34,135.0,Moderate,2015,4,19,6,1,2,170.0,122.0,141.57142857142858,129.26666666666668
Bengaluru,2015-04-20,27.46,2.53,7.91,7.1,4.58,5.53,37.22,118.0,Moderate,2015,4,20,0,0,2,135.0,85.0,146.28571428571428,130.16666666666666
Bengaluru,2015-04-21,27.94,3.8,6.45,9.94,6.14,4.43,34.74,127.0,Moderate,2015,4,21,1,0,2,118.0,62.0,155.57142857142858,130.4
Bengaluru,2015-04-22,23.81,4.01,6.21,13.57,0.915,26.42,32.79,47.0,Good,2015,4,22,2,0,2,127.0,177.0,137.0,126.83333333333333
Bengaluru,2015-04-23,23.11,4.16,6.84,14.07,3.65,12.35,15.88,44.0,Good,2015,4,23,3,0,2,47.0,152.0,121.57142857142857,124.33333333333333
Bengaluru,2015-04-24,15.12,4.35,14.96,12.52,1.13,5.12,109.66,67.0,Satisfactory,2015,4,24,4,0,2,44.0,210.0,101.14285714285714,118.83333333333333
Bengaluru,2015-04-25,19.59,4.35,8.42,12.28,3.1,26.92,157.2,44.0,Good,2015,4,25,5,1,2,67.0,170.0,83.14285714285714,115.9
Bengaluru,2015-04-26,69.85,8.6,14.35,19.55,1.22,15.91,123.32,82.0,Satisfactory,2015,4,26,6,1,2,44.0,135.0,75.57142857142857,114.53333333333333
Bengaluru,2015-04-27,24.62,3.77,7.74,11.71,1.26,18.89,65.38,156.0,Moderate,2015,4,27,0,0,2,82.0,118.0,81.0,114.66666666666667
Bengaluru,2015-04-28,32.92,7.12,12.95,18.7,2.31,14.79,57.59,96.0,Satisfactory,2015,4,28,1,0,2,156.0,127.0,76.57142857142857,113.1
Bengaluru,2015-04-29,44.53,7.24,17.71,22.68,1.34,8.34,27.11,72.0,Satisfactory,2015,4,29,2,0,2,96.0,47.0,80.14285714285714,112.83333333333333
Bengaluru,2015-04-30,26.68,3.79,16.69,12.64,0.915,11.54,51.81,117.0,Moderate,2015,4,30,3,0,2,72.0,44.0,90.57142857142857,113.73333333333333
Bengaluru,2015-05-01,39.06,3.45,14.31,12.05,1.59,4.96,26.93,67.0,Satisfactory,2015,5,1,4,0,2,117.0,67.0,90.57142857142857,110.93333333333334
Bengaluru,2015-05-02,50.83,5.74,14.24,14.93,4.44,2.99,16.83,217.0,Poor,2015,5,2,5,1,2,67.0,44.0,115.28571428571429,114.06666666666666
Bengaluru,2015-05-03,62.58,5.03,15.2,10.05,1.32,7.47,17.81,64.0,Satisfactory,2015,5,3,6,1,2,217.0,82.0,112.71428571428571,110.26666666666667
Bengaluru,2015-05-04,45.26,5.21,25.81,15.91,4.17,6.79,21.39,162.0,Moderate,2015,5,4,0,0,2,64.0,156.0,113.57142857142857,112.3
Bengaluru,2015-05-05,40.37,9.03,20.7,13.3,0.0,8.6,36.56,75.0,Satisfactory,2015,5,5,1,0,2,162.0,96.0,110.57142857142857,109.46666666666667
Bengaluru,2015-05-06,43.21,8.24,17.15,10.79,28.28,11.77,80.02,141.0,Moderate,2015,5,6,2,0,2,75.0,72.0,120.42857142857143,111.8
Bengaluru,2015-05-07,41.53,5.74,20.41,14.16,0.5,4.67,31.73,70.0,Satisfactory,2015,5,7,3,0,2,141.0,117.0,113.71428571428571,111.6
Bengaluru,2015-05-08,27.85,5.82,17.29,11.04,4.82,7.18,88.24,142.0,Moderate,2015,5,8,4,0,2,70.0,67.0,124.42857142857143,111.23333333333333
Bengaluru,2015-05-09,36.83,4.6,24.35,13.81,23.56,6.64,39.61,140.0,Moderate,2015,5,9,5,1,2,142.0,217.0,113.42857142857143,113.23333333333333
Bengaluru,2015-05-10,40.81,6.5,29.77,14.91,2.57,3.46,32.11,71.0,Satisfactory,2015,5,10,6,1,2,140.0,64.0,114.42857142857143,111.3
Bengaluru,2015-05-11,36.11,6.97,29.38,17.29,0.3,11.84,14.0,66.0,Satisfactory,2015,5,11,0,0,2,71.0,162.0,100.71428571428571,109.93333333333334
Bengaluru,2015-05-12,28.76,8.95,29.1,18.34,0.915,2.96,15.17,56.0,Satisfactory,2015,5,12,1,0,2,66.0,75.0,98.0,107.73333333333333
Bengaluru,2015-05-13,40.74,8.61,32.27,20.96,0.0,2.77,7.96,45.0,Good,2015,5,13,2,0,2,56.0,141.0,84.28571428571429,106.4
Bengaluru,2015-05-14,23.77,6.77,33.12,20.16,1.19,2.83,12.14,61.0,Satisfactory,2015,5,14,3,0,2,45.0,70.0,83.0,106.36666666666666
Bengaluru,2015-05-15,17.34,5.26,22.13,14.1,2.06,3.08,12.14,70.0,Satisfactory,2015,5,15,4,0,2,61.0,142.0,72.71428571428571,102.8
Bengaluru,2015-05-16,30.45,5.23,32.24,18.53,1.19,3.9,8.48,59.0,Satisfactory,2015,5,16,5,1,2,70.0,140.0,61.142857142857146,99.7
Bengaluru,2015-05-17,15.8,5.08,22.62,11.25,12.23,5.8,21.44,125.0,Moderate,2015,5,17,6,1,2,59.0,71.0,68.85714285714286,96.86666666666666
