iter	RMSE
0	41.15747663
1	40.13942169
2	39.11693275
3	38.28365704
4	37.37056145
5	36.59606795
6	35.82785253
7	35.02244455
8	34.38248652
9	33.7711376
10	33.14893905
11	32.6247734
12	32.07834804
13	31.53774104
14	31.09238649
15	30.64257576
16	30.19443958
17	29.7650691
18	29.30139204
19	28.93286165
20	28.63347101
21	28.24206209
22	27.88823287
23	27.5618105
24	27.23174428
25	26.91196201
26	26.66330436
27	26.43492329
28	26.19654154
29	25.9699437
30	25.75108645
31	25.5824916
32	25.41692662
33	25.18216806
34	24.9939651
35	24.78989551
36	24.62437979
37	24.46070012
38	24.32475614
39	24.13754911
40	23.96686821
41	23.81638258
42	23.69701861
43	23.56693068
44	23.40965197
45	23.25867154
46	23.11910393
47	22.97808735
48	22.84390487
49	22.7010797
50	22.60391658
51	22.4980591
52	22.43687356
53	22.3147848
54	22.21137161
55	22.12545471
56	22.02360495
57	21.93595689
58	21.86643517
59	21.78137273
60	21.69961655
61	21.62761089
62	21.52275291
63	21.46361944
64	21.40772683
65	21.31723743
66	21.26977072
67	21.19686195
68	21.14103595
69	21.06046563
70	20.99479757
71	20.93923466
72	20.89302643
73	20.83461737
74	20.77773634
75	20.73623094
76	20.67137567
77	20.62266019
78	20.55634825
79	20.48207256
80	20.44938622
81	20.37272184
82	20.31131208
83	20.26160427
84	20.22122371
85	20.14759522
86	20.09501577
87	20.04006228
88	19.98935516
89	19.94545765
90	19.89525321
91	19.84309137
92	19.76268856
93	19.7082965
94	19.67484912
95	19.60788925
96	19.59087392
97	19.55150505
98	19.48437605
99	19.42771433
100	19.39708472
101	19.3633061
102	19.33336763
103	19.28458015
104	19.25331622
105	19.21534914
106	19.18148403
107	19.13063037
108	19.08262937
109	19.04637525
110	19.0038563
111	18.96217324
112	18.92423324
113	18.87184375
114	18.83767791
115	18.81110809
116	18.77487678
117	18.73940183
118	18.68169165
119	18.61646298
120	18.57178846
121	18.52303617
122	18.48078491
123	18.45760018
124	18.42045785
125	18.39506606
126	18.37164632
127	18.34189093
128	18.3128752
129	18.2748552
130	18.22326661
131	18.18836722
132	18.1313609
133	18.1036981
134	18.05192107
135	18.00912215
136	17.98197115
137	17.95730153
138	17.92421434
139	17.88988791
140	17.85161358
141	17.8100876
142	17.78784631
143	17.75375302
144	17.72891612
145	17.706507
146	17.67998765
147	17.65066624
148	17.60750028
149	17.57482908
150	17.55061187
151	17.51455183
152	17.46421184
153	17.42664936
154	17.38817538
155	17.35967926
156	17.29875773
157	17.27270722
158	17.24938082
159	17.22640228
160	17.19889587
161	17.16438875
162	17.13415899
163	17.09684601
164	17.07446883
165	17.0351689
166	16.98805467
167	16.94021096
168	16.87926564
169	16.82778853
170	16.80725533
171	16.77536757
172	16.74279722
173	16.68602859
